Product ID,Product Name,Description,Price,Status,Customer ID,Created Date
60629896-a02e-441e-96df-396ef824417c,4K Monitor Premium,27-inch 4K UHD monitor with HDR support,£343.63,Available,28f30309-7531-4dc4-a3dc-3248a1ca301d,2025-10-29
0bb950f2-c8ca-4983-b8d1-a67219df2745,4K Monitor Pro,27-inch 4K UHD monitor with HDR support,£406.39,Unavailable,ca1b620d-1d91-452d-842c-8a5b4db49daa,2025-10-29
cfce2cdd-928a-4481-a0e0-a3cf8bece949,4K Monitor Standard,27-inch 4K UHD monitor with HDR support,£334.41,Available,2775b4f1-8684-4f7e-846a-433ea3d46a74,2025-10-29
e06ba5c8-4cc8-48e0-bf90-79d821c3a324,Access Point Premium,Business-grade wireless access point,£180.19,Unavailable,ca95baf1-80fa-48ad-b917-98c799f9df35,2025-10-29
ea1e3545-bf14-4fb6-b0be-a84dcd21c407,Access Point Pro,Business-grade wireless access point,£176.31,Available,472d4614-2e6e-41c1-91ac-c9d361f82430,2025-10-29
c9bf08e4-d45a-4db2-943d-0d19473b65d6,Access Point Standard,Business-grade wireless access point,£172.21,Available,66217f42-faa2-4bce-a049-39732f507ef8,2025-10-29
eac0dadd-3717-48ce-a714-eb011b369e38,Air Quality Monitor Pro,Smart air quality sensor,£115.14,Available,472d4614-2e6e-41c1-91ac-c9d361f82430,2025-10-29
4d7341b9-1e39-4bf3-9a28-20047393672e,Air Quality Monitor Standard,Smart air quality sensor,£139.99,Available,dda28866-367b-439b-9f70-a61bd4e36ec9,2025-10-29
a2d3ad95-33ea-4541-8e3a-26c054274696,Antivirus Software Premium,Premium antivirus and security suite,£62.17,Available,e79a0369-83e1-4c23-8160-5f3520133d42,2025-10-29
b6afec86-e70d-499e-b92f-690f7cf4aa96,Antivirus Software Pro,Premium antivirus and security suite,£69.10,Available,3751dc62-86b5-4b7a-a989-102c729b60b0,2025-10-29
aa7157b8-f61a-4326-a023-49eb8efbae1a,Antivirus Software Standard,Premium antivirus and security suite,£62.98,Available,7bd89408-d380-4e09-9cad-89e3ffc4958c,2025-10-29
f98f729c-f286-4ac0-bb57-475c4860a415,Audio Editor Elite,Professional audio editing and mastering,£118.32,Available,14dab0c5-2ba2-4d2a-92c2-47971f79523a,2025-10-29
37b4f411-48b3-4591-a791-26200885f020,Audio Editor Premium,Professional audio editing and mastering,£105.82,Available,7bd89408-d380-4e09-9cad-89e3ffc4958c,2025-10-29
f3d2cf0a-7dbf-4f26-8f84-2bf8d9636576,Audio Editor Pro,Professional audio editing and mastering,£120.12,Available,1ad856b2-a447-4c17-a647-c532eed714ea,2025-10-29
3c449f1a-7523-4730-9a16-522001612d09,Audio Editor Standard,Professional audio editing and mastering,£144.67,Available,dda28866-367b-439b-9f70-a61bd4e36ec9,2025-10-29
96f183ea-e89d-4ae3-b6e1-50c45c17bc15,Barcode Scanner Elite,Wireless 2D barcode scanner,£104.05,Unavailable,1ea30d85-c3e9-45f3-84c0-3334e6c72743,2025-10-29
6770801c-59a1-489a-8994-a7f4045eaa73,Barcode Scanner Premium,Wireless 2D barcode scanner,£83.24,Available,1ea30d85-c3e9-45f3-84c0-3334e6c72743,2025-10-29
a05f1730-3081-48b1-9920-634865dd4b5b,Barcode Scanner Pro,Wireless 2D barcode scanner,£74.82,Available,1624fcc1-d3bd-41e2-a645-6085cc172ce1,2025-10-29
46696f1b-6580-4c10-8487-d2f214e1b0b2,Barcode Scanner Standard,Wireless 2D barcode scanner,£94.05,Available,ba84160c-aff0-4854-9556-1525254fced8,2025-10-29
732ef55d-661a-4141-a777-9c3200a1363a,Bluetooth Speaker Pro,Waterproof portable Bluetooth speaker,£71.18,Available,ca95baf1-80fa-48ad-b917-98c799f9df35,2025-10-29
abbe70e1-9b67-40fb-8890-87b08396050e,Bluetooth Speaker Standard,Waterproof portable Bluetooth speaker,£65.41,Unavailable,eb8ea52a-df43-4394-ac2d-ca9376586926,2025-10-29
837dfe10-30c4-4734-bccc-89bd6d92ba58,CAD Software Pro,3D computer-aided design software,£439.27,Available,28f30309-7531-4dc4-a3dc-3248a1ca301d,2025-10-29
0fcc74e1-2437-4830-ae31-5a8e14552eb8,CAD Software Standard,3D computer-aided design software,£443.56,Available,9922d7c0-c487-480d-9e5a-61ee8bd3a886,2025-10-29
052f2626-2cd0-4f83-97ab-a0825763ba90,Capture Card Pro,4K HDR capture card for streaming,£168.30,Available,4fc3583e-55fd-49da-b392-5af2a07bb81e,2025-10-29
851e37dd-c35d-4b99-8623-a456cccb4074,Capture Card Standard,4K HDR capture card for streaming,£187.79,Available,1e4ba9ee-9b17-4336-9f34-030457ee555f,2025-10-29
04fa2e72-fc78-42e3-9ce3-14803a78b7a9,Car Charger Elite,Fast charging dual-port car charger,£26.36,Available,43085414-8dce-49a5-87c5-db26520f46c1,2025-10-29
b81bb5eb-836f-4682-b5df-b4305c3ff7b3,Car Charger Premium,Fast charging dual-port car charger,£19.81,Available,9922d7c0-c487-480d-9e5a-61ee8bd3a886,2025-10-29
640454c0-f0ee-4633-a079-4064c4623834,Car Charger Pro,Fast charging dual-port car charger,£18.74,Available,4dff78c8-4c16-46a1-bbb1-5733135782a0,2025-10-29
d6dd0458-03e8-490d-80ff-9ed8dafed19d,Car Charger Standard,Fast charging dual-port car charger,£26.58,Unavailable,7bd89408-d380-4e09-9cad-89e3ffc4958c,2025-10-29
9191f6a7-9291-45ee-92cb-4df3dc3d7777,Car Mount Premium,Magnetic car phone mount,£18.82,Available,e459ce21-d225-4580-b279-43040cd8f86e,2025-10-29
5721c96b-2f0e-449f-9ba9-d2132b0923ad,Car Mount Pro,Magnetic car phone mount,£17.22,Available,58c0a534-dfe9-4849-924b-0fc2f64c039c,2025-10-29
675489e4-782f-4053-a104-364c873b94f2,Car Mount Standard,Magnetic car phone mount,£18.80,Available,9d5542a4-193b-4839-8536-05b5bef19c3a,2025-10-29
713ed1eb-d25d-4a9e-944a-85026aed9449,Case Fan Pro,Silent RGB case fan with PWM control,£25.12,Available,03d29702-0fd2-484d-84f9-a1cd9c1a1fe3,2025-10-29
12c487d3-5e46-44f8-a449-7f9c710db416,Case Fan Standard,Silent RGB case fan with PWM control,£26.58,Available,e79a0369-83e1-4c23-8160-5f3520133d42,2025-10-29
250550d1-96ca-44ec-88a4-6642e8b61f46,Conference Camera Elite,360-degree conference room camera,£281.26,Available,7bd89408-d380-4e09-9cad-89e3ffc4958c,2025-10-29
